Invoice_ID,Order_Date,Ship_Date,Order_Status,Payment_Method,Quantity_Sold,Unit_Price,Discount_Percent,Tax_Amount,Total_Sale_Amount
INV-20240324-1113,2025-03-24,2025-03-31,Pending,Cash,18,384,15,411.26,6286.46
INV-20241210-3245,2024-02-17,2024-02-22,Returned,UPI,7,978,14,412.13,6299.69
INV-20240108-2655,2025-01-26,2025-01-27,Pending,PayPal,4,571,27,116.71,1784.03
INV-20241209-3122,2024-07-01,2024-07-07,Returned,UPI,3,973,25,153.25,2342.5
INV-20250816-9420,2024-12-25,2024-12-29,Returned,Cash,4,726,2,199.21,3045.13
INV-20241202-6774,2024-12-08,2024-12-14,Returned,PayPal,1,364,0,25.48,389.48
INV-20240226-9135,2024-04-05,2024-04-08,Completed,Cash,12,813,10,614.63,9395.03
INV-20231224-3721,2024-08-18,2024-08-19,Returned,PayPal,17,889,24,804.01,12289.89
INV-20240323-4052,2023-10-22,2023-10-24,Pending,Credit Card,4,779,3,211.58,3234.1
INV-20250808-4900,2024-12-25,2024-12-28,Returned,UPI,12,346,7,270.3,4131.66
INV-20250425-3642,2024-01-08,2024-01-12,Pending,UPI,14,520,11,453.54,6932.74
INV-20240807-2940,2025-08-07,2025-08-08,Returned,UPI,16,443,3,481.28,7356.64
INV-20250709-1567,2024-12-04,2024-12-07,Completed,Credit Card,11,673,15,440.48,6733.03
INV-20250923-3225,2024-01-22,2024-01-24,Pending,Cash,2,582,9,74.15,1133.39
INV-20240121-3259,2024-01-29,2024-02-04,Returned,UPI,16,558,29,443.72,6782.6
INV-20250616-2741,2024-08-27,2024-09-01,Returned,PayPal,14,205,22,156.7,2395.3
INV-20240321-6309,2023-12-22,2023-12-25,Pending,Cash,12,953,21,632.41,9666.85
INV-20240207-1749,2024-06-11,2024-06-14,Pending,PayPal,16,472,21,417.63,6383.71
INV-20251005-4996,2025-07-23,2025-07-26,Returned,PayPal,8,657,9,334.81,5117.77
INV-20241020-4473,2024-08-14,2024-08-15,Pending,UPI,6,357,3,145.44,2223.18
INV-20250111-2668,2025-09-26,2025-10-03,Pending,Cash,11,526,16,340.22,5200.46
INV-20231213-5984,2025-03-10,2025-03-14,Pending,Credit Card,16,179,27,146.35,2237.07
INV-20250822-1348,2023-12-03,2023-12-04,Returned,UPI,8,823,2,451.66,6903.98
INV-20240820-5927,2024-01-17,2024-01-20,Pending,Cash,12,924,5,737.35,11270.95
INV-20241105-1531,2025-03-19,2025-03-24,Returned,UPI,3,451,26,70.09,1071.31
INV-20240415-9088,2025-02-20,2025-02-24,Returned,UPI,8,571,0,319.76,4887.76
INV-20240921-2022,2025-07-16,2025-07-19,Completed,Credit Card,8,215,24,91.5,1398.7
INV-20241124-9359,2025-07-06,2025-07-11,Pending,UPI,16,130,0,145.6,2225.6
INV-20240323-9645,2025-04-09,2025-04-16,Completed,UPI,20,403,22,440.08,6726.88
INV-20250712-3731,2024-01-08,2024-01-09,Returned,Cash,2,481,27,49.16,751.42
INV-20240121-3853,2024-03-06,2024-03-10,Pending,Credit Card,12,420,11,313.99,4799.59
INV-20240315-2025,2024-12-24,2024-12-27,Returned,Cash,14,540,20,423.36,6471.36
INV-20250721-1175,2024-11-24,2024-11-27,Pending,UPI,4,960,13,233.86,3574.66
INV-20240213-4678,2025-06-03,2025-06-08,Pending,Cash,16,400,12,394.24,6026.24
INV-20250908-9543,2024-08-10,2024-08-12,Pending,Credit Card,2,716,14,86.21,1317.73
INV-20240705-8182,2024-11-13,2024-11-18,Pending,Credit Card,13,439,11,355.55,5434.78
INV-20240207-1990,2025-05-29,2025-06-02,Pending,PayPal,11,896,22,538.14,8225.82
INV-20240115-1191,2024-07-18,2024-07-24,Pending,Credit Card,19,518,10,620.05,9477.85
INV-20241125-3286,2025-05-23,2025-05-25,Pending,Credit Card,4,651,0,182.28,2786.28
INV-20250619-6743,2024-12-24,2024-12-30,Pending,UPI,8,234,19,106.14,1622.46
INV-20231012-8824,2025-02-16,2025-02-21,Pending,PayPal,9,889,5,532.07,8133.02
INV-20240507-7060,2024-04-23,2024-04-28,Returned,PayPal,7,695,24,258.82,3956.22
INV-20240213-6852,2024-10-08,2024-10-12,Pending,Credit Card,10,379,4,254.69,3893.09
INV-20250724-2097,2024-09-22,2024-09-24,Pending,Credit Card,19,113,24,114.22,1745.94
INV-20240906-4511,2025-09-24,2025-09-26,Completed,UPI,19,558,4,712.45,10890.37
INV-20231026-3977,2025-05-31,2025-06-03,Completed,UPI,4,622,25,130.62,1996.62
INV-20240911-4027,2024-12-02,2024-12-03,Completed,Credit Card,6,275,13,100.49,1535.99
INV-20241228-2665,2024-05-06,2024-05-10,Pending,PayPal,11,369,19,230.15,3517.94
INV-20251005-3602,2024-12-05,2024-12-08,Returned,UPI,14,843,8,760.05,11617.89
INV-20250401-3652,2023-11-19,2023-11-25,Pending,Credit Card,13,771,25,526.21,8043.46
INV-20250103-7405,2025-07-24,2025-07-26,Returned,PayPal,11,402,14,266.2,4069.12
INV-20250829-3330,2025-08-15,2025-08-20,Pending,Cash,15,327,8,315.88,4828.48
INV-20240622-5284,2025-04-20,2025-04-25,Returned,UPI,20,151,11,188.15,2875.95
INV-20240918-2238,2025-06-10,2025-06-13,Pending,Cash,19,247,6,308.8,4720.22
INV-20240420-6912,2024-09-23,2024-09-24,Pending,Credit Card,15,900,29,670.95,10255.95
INV-20250913-1997,2023-12-04,2023-12-07,Pending,Cash,19,193,18,210.49,3217.43
INV-20250306-6754,2024-03-07,2024-03-13,Pending,UPI,11,648,28,359.25,5491.41
INV-20250703-4587,2024-10-06,2024-10-07,Pending,Credit Card,14,957,21,740.91,11325.33
INV-20240225-5640,2024-04-18,2024-04-19,Returned,UPI,13,252,19,185.75,2839.31
INV-20240427-8170,2025-09-10,2025-09-15,Pending,UPI,20,490,26,507.64,7759.64
INV-20240426-6473,2025-05-24,2025-05-26,Returned,Cash,17,708,21,665.59,10174.03
INV-20240912-5543,2025-05-05,2025-05-09,Pending,Cash,7,832,29,289.45,4424.49
INV-20240217-5037,2024-10-28,2024-11-04,Completed,PayPal,14,327,17,265.98,4065.72
INV-20240420-4036,2023-11-15,2023-11-20,Pending,Cash,16,385,21,340.65,5207.05
INV-20250511-2965,2025-07-14,2025-07-17,Returned,Cash,12,948,0,796.32,12172.32
INV-20240906-9367,2024-05-14,2024-05-21,Pending,Cash,14,320,11,279.1,4266.3
INV-20240919-5106,2024-08-04,2024-08-11,Returned,UPI,1,841,6,55.34,845.88
INV-20251004-1115,2025-05-27,2025-06-02,Returned,PayPal,2,770,21,85.16,1301.76
INV-20240127-4450,2024-11-05,2024-11-10,Completed,Credit Card,17,515,23,471.89,7213.24
INV-20240606-9430,2025-09-29,2025-10-02,Completed,Credit Card,6,510,4,205.63,3143.23
INV-20240804-2459,2024-01-02,2024-01-08,Pending,UPI,6,656,22,214.91,3284.99
INV-20250112-1817,2024-03-20,2024-03-24,Returned,UPI,4,728,30,142.69,2181.09
INV-20231008-6979,2024-03-12,2024-03-16,Pending,PayPal,17,512,24,463.05,7078.09
INV-20240308-3274,2024-05-13,2024-05-18,Returned,Cash,5,969,27,247.58,3784.43
INV-20250707-1267,2023-11-05,2023-11-09,Completed,Cash,14,898,11,783.24,11972.32
INV-20231214-6061,2024-01-20,2024-01-21,Completed,Credit Card,15,606,2,623.57,9531.77
INV-20240218-9324,2023-12-29,2023-12-31,Pending,UPI,9,706,2,435.88,6662.8
INV-20241023-8443,2023-11-01,2023-11-08,Returned,UPI,19,793,23,812.11,12413.7
INV-20250330-5918,2024-11-23,2024-11-26,Returned,Cash,13,939,0,854.49,13061.49
INV-20240901-2651,2024-02-12,2024-02-16,Pending,Credit Card,14,417,14,351.45,5372.13
INV-20250429-3364,2024-07-28,2024-08-03,Pending,Cash,18,634,28,575.16,8791.8
INV-20250619-2715,2023-10-15,2023-10-21,Pending,Credit Card,19,422,26,415.33,6348.65
INV-20240311-1796,2023-12-02,2023-12-03,Completed,Credit Card,14,664,25,488.04,7460.04
INV-20240804-9205,2025-01-09,2025-01-14,Pending,PayPal,11,859,13,575.44,8796.07
INV-20240511-4616,2024-08-02,2024-08-08,Pending,PayPal,17,748,17,738.8,11293.08
INV-20250413-6792,2024-07-25,2024-07-30,Returned,UPI,5,421,1,145.88,2229.83
INV-20240119-5522,2024-12-15,2024-12-19,Completed,Cash,9,774,15,414.48,6335.58
INV-20241221-9717,2024-06-30,2024-07-06,Returned,Credit Card,1,975,11,60.74,928.49
INV-20250613-4568,2023-12-09,2023-12-14,Completed,PayPal,16,980,13,954.91,14596.51
INV-20250515-4455,2024-07-13,2024-07-16,Completed,UPI,6,366,20,122.98,1879.78
INV-20241203-4515,2023-11-18,2023-11-19,Returned,UPI,11,222,17,141.88,2168.74
INV-20241024-5659,2025-01-01,2025-01-08,Completed,Cash,3,171,8,33.04,505.0
INV-20240417-3376,2025-08-24,2025-08-25,Pending,UPI,17,479,22,444.61,6796.15
INV-20250509-9622,2025-04-13,2025-04-16,Returned,Credit Card,10,899,30,440.51,6733.51
INV-20240305-9736,2025-04-17,2025-04-19,Pending,Cash,3,990,8,191.27,2923.67
INV-20231207-8506,2025-09-12,2025-09-14,Returned,PayPal,6,613,4,247.16,3778.04
INV-20250910-2985,2025-02-01,2025-02-08,Pending,UPI,7,573,21,221.81,3390.5
INV-20240810-3357,2024-03-11,2024-03-14,Completed,UPI,12,923,8,713.29,10903.21
INV-20250330-3723,2024-02-08,2024-02-12,Returned,Cash,1,192,11,11.96,182.84
INV-20250306-3695,2025-07-24,2025-07-30,Returned,Cash,11,533,23,316.02,4830.53
INV-20241008-4405,2025-09-26,2025-09-30,Pending,PayPal,7,965,23,364.09,5565.44
INV-20250522-8278,2024-11-22,2024-11-25,Pending,PayPal,2,945,25,99.23,1516.73
INV-20231029-7351,2025-01-26,2025-02-01,Completed,PayPal,8,824,24,350.69,5360.61
INV-20250127-4034,2024-04-28,2024-05-05,Pending,PayPal,5,942,11,293.43,4485.33
INV-20241002-2803,2025-02-14,2025-02-18,Returned,Credit Card,1,328,6,21.58,329.9
INV-20250813-5373,2024-04-21,2024-04-24,Completed,UPI,15,913,20,766.92,11722.92
INV-20241201-4496,2025-02-15,2025-02-16,Pending,Cash,16,746,15,710.19,10855.79
INV-20240502-3115,2024-11-10,2024-11-15,Completed,PayPal,11,753,21,458.05,7001.62
INV-20250810-9452,2025-01-30,2025-01-31,Returned,Credit Card,8,621,8,319.94,4890.5
INV-20240907-7601,2025-09-12,2025-09-15,Returned,UPI,2,312,27,31.89,487.41
INV-20241130-1889,2024-06-30,2024-07-04,Completed,Credit Card,2,367,9,46.76,714.7
INV-20240803-2384,2024-11-07,2024-11-13,Pending,UPI,11,340,12,230.38,3521.58
INV-20231009-9326,2024-03-03,2024-03-05,Returned,Credit Card,4,185,11,46.1,704.7
INV-20240309-1845,2024-02-23,2024-02-26,Completed,Credit Card,17,134,8,146.7,2242.46
INV-20241205-9692,2025-02-17,2025-02-18,Returned,Credit Card,20,414,30,405.72,6201.72
INV-20240803-5730,2025-01-06,2025-01-13,Completed,Credit Card,20,811,30,794.78,12148.78
INV-20231010-8235,2024-04-25,2024-04-27,Completed,Cash,11,701,30,377.84,5775.54
INV-20231007-4456,2024-02-12,2024-02-15,Completed,PayPal,2,538,15,64.02,978.62
INV-20251004-8100,2024-10-01,2024-10-04,Pending,UPI,4,326,30,63.9,976.7
INV-20241115-2174,2024-07-30,2024-08-02,Returned,Cash,5,617,12,190.04,2904.84
INV-20250603-7967,2025-03-31,2025-04-03,Pending,Credit Card,3,310,5,61.85,945.35
INV-20231017-4773,2025-03-25,2025-03-26,Pending,Credit Card,15,949,17,827.05,12642.1
INV-20240622-2523,2024-09-19,2024-09-26,Returned,PayPal,7,546,27,195.3,2985.36
INV-20241216-1602,2024-11-07,2024-11-11,Completed,Cash,3,879,7,171.67,2624.08
INV-20240228-1604,2025-02-24,2025-03-03,Returned,UPI,10,388,18,222.71,3404.31
INV-20240428-7006,2024-05-20,2024-05-24,Returned,PayPal,9,815,4,492.91,7534.51
INV-20250112-3219,2024-06-18,2024-06-20,Pending,Cash,20,491,25,515.55,7880.55
INV-20241017-8266,2024-12-10,2024-12-11,Returned,UPI,11,209,25,120.7,1844.95
INV-20240505-5392,2024-05-25,2024-05-28,Pending,UPI,16,906,13,882.81,13494.33
INV-20250504-5796,2025-02-27,2025-03-05,Completed,PayPal,1,850,9,54.15,827.65
INV-20231207-5565,2025-03-10,2025-03-17,Returned,PayPal,13,727,29,469.71,7179.92
INV-20240811-3668,2023-12-08,2023-12-09,Completed,PayPal,14,746,17,606.8,9275.32
INV-20241205-4859,2024-05-02,2024-05-06,Returned,UPI,20,203,20,227.36,3475.36
INV-20240519-9523,2024-11-26,2024-12-02,Pending,UPI,8,113,28,45.56,696.44
INV-20241227-8486,2023-10-23,2023-10-29,Completed,UPI,19,228,25,227.43,3476.43
INV-20240609-1342,2023-12-30,2023-12-31,Returned,UPI,18,477,8,552.94,8452.06
INV-20241208-4224,2025-05-25,2025-05-27,Completed,UPI,15,463,27,354.89,5424.74
INV-20240820-7204,2024-03-05,2024-03-12,Completed,PayPal,19,690,4,880.99,13466.59
INV-20250208-5352,2025-02-27,2025-03-02,Completed,Cash,15,426,19,362.31,5538.21
INV-20250305-7683,2025-06-17,2025-06-20,Pending,UPI,16,437,5,464.97,7107.37
INV-20240610-1988,2024-08-11,2024-08-15,Pending,PayPal,6,451,15,161.01,2461.11
INV-20240707-7369,2025-06-23,2025-06-26,Returned,UPI,16,419,15,398.89,6097.29
INV-20250923-7603,2023-10-21,2023-10-24,Pending,Cash,15,275,7,268.54,4104.79
INV-20241107-2480,2024-10-12,2024-10-14,Pending,UPI,9,736,23,357.03,5457.51
INV-20231013-3480,2024-09-06,2024-09-08,Pending,Credit Card,2,988,13,120.34,1839.46
INV-20240608-5136,2024-10-05,2024-10-08,Pending,PayPal,1,954,28,48.08,734.96
INV-20231101-5384,2024-05-28,2024-06-03,Returned,Cash,2,558,12,68.75,1050.83
INV-20241219-1923,2024-05-13,2024-05-15,Completed,Credit Card,10,180,22,98.28,1502.28
INV-20240424-7046,2024-02-21,2024-02-24,Completed,UPI,13,372,26,250.5,3829.14
INV-20250109-4528,2025-03-19,2025-03-21,Pending,Cash,10,405,0,283.5,4333.5
INV-20250121-7884,2024-01-18,2024-01-21,Returned,Credit Card,4,242,25,50.82,776.82
INV-20240224-8797,2025-03-31,2025-04-05,Completed,UPI,13,101,26,68.01,1039.63
INV-20240109-9549,2023-11-29,2023-12-05,Pending,UPI,7,867,22,331.37,5065.19
INV-20250206-5605,2024-06-22,2024-06-26,Completed,UPI,1,935,1,64.8,990.45
INV-20240120-7996,2024-10-14,2024-10-19,Completed,Credit Card,2,400,21,44.24,676.24
INV-20250118-2844,2025-06-24,2025-06-30,Returned,Credit Card,3,277,10,52.35,800.25
INV-20231021-6686,2025-04-01,2025-04-04,Completed,UPI,14,878,22,671.14,10258.9
INV-20250203-9515,2024-09-01,2024-09-08,Returned,UPI,12,892,24,569.45,8704.49
INV-20250713-1316,2024-10-15,2024-10-18,Pending,PayPal,5,413,19,117.09,1789.74
INV-20250404-3329,2025-08-04,2025-08-09,Pending,UPI,11,185,23,109.69,1676.64
INV-20250924-6610,2023-10-28,2023-11-01,Returned,Cash,7,187,13,79.72,1218.55
INV-20240518-3928,2024-06-01,2024-06-03,Returned,Credit Card,12,263,18,181.15,2769.07
INV-20240120-5081,2024-03-05,2024-03-08,Pending,Credit Card,1,195,22,10.65,162.75
INV-20240807-2362,2024-05-03,2024-05-10,Pending,UPI,3,145,24,23.14,353.74
INV-20231211-4562,2024-12-05,2024-12-11,Returned,Cash,19,300,20,319.2,4879.2
INV-20240724-1434,2024-05-04,2024-05-06,Pending,Credit Card,5,481,2,164.98,2521.88
INV-20250422-9237,2024-05-15,2024-05-19,Returned,UPI,17,578,11,612.16,9357.3
INV-20250328-3065,2025-01-28,2025-01-30,Returned,Cash,16,532,4,572.01,8743.53
INV-20240111-4520,2025-06-27,2025-06-28,Completed,Cash,15,945,26,734.27,11223.77
INV-20240109-2257,2024-07-22,2024-07-24,Completed,UPI,12,657,3,535.32,8182.8
